authors,crawl_time,download_url,keyword,publication,publicationDate,publisher,search,snippet,title
"Teng Haikun,Liu Xinsheng,Wang Shiying,Xiao-Guang Yue",2019-10-15 19:17:48,https://dl.acm.org/ft_gateway.cfm?id=3305344&ftid=2039680&dwn=1,"Compiling System, Embedded System, JVM, MCS-51 Series Single chip",ISBDAI '18: Proceedings of the International Symposium on Big Data and Artificial Intelligence,December 2018,ACM,51,"For embedded system application status at home and abroad, this paper uses the method of compiling to design embedded Java compiler. It can directly generate the MCS-51 series microcontroller target code, does not rely on the operating system and the JVM, makes the Java language more widely applied in the ...",Research on Java Compiling System for Embedded Systems
C. H. Lindsey,2019-10-15 19:17:48,https://dl.acm.org/ft_gateway.cfm?id=1061799&ftid=307479&dwn=1,,"ALGOL Bulletin: Issue 51, Dec. 1984",December 2018,Computer History Museum,51,,Announcements
C. H. Lindsey,2019-10-15 19:17:49,https://dl.acm.org/ft_gateway.cfm?id=1061798&ftid=307478&dwn=1,,"ALGOL Bulletin: Issue 51, Dec. 1984",December 2018,Computer History Museum,51,,Editor's notes
,2019-10-15 19:17:49,https://dl.acm.org/ft_gateway.cfm?id=1400181&ftid=562283&dwn=1,,,December 2018,,51,,"Communications of the ACM: Volume 51 Issue 10, October 2008"
Jack Buchanan,2019-10-15 19:17:49,https://dl.acm.org/ft_gateway.cfm?id=1045234&ftid=296570&dwn=1,,"ACM SIGART Bulletin: Issue 51, April 1975",December 2018,ACM,51,,Chess and Go
Peter G. Craven,2019-10-15 19:17:49,https://dl.acm.org/ft_gateway.cfm?id=1061802&ftid=307482&dwn=1,,"ALGOL Bulletin: Issue 51, Dec. 1984",December 2018,Computer History Museum,51,,Interactive ALGOL 68
"Alessandro Garcia,Carlos Lucena",2019-10-15 19:17:51,https://dl.acm.org/https://cacm.acm.org/magazines/2008/5/5416/fulltext,,"Communications of the ACM - Web searching in a multilingual world: Volume 51 Issue 5, May 2008",May 2008,ACM,51,Using aspect-oriented techniques to construct high-quality multi-agent systems.,Taming heterogeneous agent architectures
"Jiajian Xiao,Philipp Andelfinger,David Eckhoff,Wentong Cai,Alois Knoll",2019-10-15 19:17:51,https://dl.acm.org/ft_gateway.cfm?id=3291048&ftid=2039761&dwn=1,"Agent-based simulation, heterogeneous computing","ACM Computing Surveys (CSUR): Volume 51 Issue 6, February 2019",May 2008,ACM,51,"Due to decelerating gains in single-core CPU performance, computationally expensive simulations are increasingly executed on highly parallel hardware platforms. Agent-based simulations, where simulated entities act with a certain degree of autonomy, frequently provide ample opportunities for parallelisation. Thus, a vast variety of approaches proposed in the literature demonstrated considerable performance ...",A Survey on Agent-based Simulation Using Hardware Accelerators
"Miltiadis Allamanis,Earl T. Barr,Premkumar Devanbu,Charles Sutton",2019-10-15 19:17:51,https://dl.acm.org/ft_gateway.cfm?id=3212695&ftid=1991991&dwn=1,"Big code, code naturalness, machine learning, software engineering tools","ACM Computing Surveys (CSUR): Volume 51 Issue 4, September 2018",May 2008,ACM,51,"Research at the intersection of machine learning, programming languages, and software engineering has recently taken important steps in proposing learnable probabilistic models of source code that exploit the abundance of patterns of code. In this article, we survey this work. We contrast programming languages against natural languages and discuss how ...",A Survey of Machine Learning for Big Code and Naturalness
"Amir H. Ashouri,William Killian,John Cavazos,Gianluca Palermo,Cristina Silvano",2019-10-15 19:17:52,https://dl.acm.org/ft_gateway.cfm?id=3197978&ftid=2006731&dwn=1,"Autotuning, compilers, machine learning, optimizations, phase ordering","ACM Computing Surveys (CSUR): Volume 51 Issue 5, January 2019",May 2008,ACM,51,"Since the mid-1990s, researchers have been trying to use machine-learning-based approaches to solve a number of different compiler optimization problems. These techniques primarily enhance the quality of the obtained results and, more importantly, make it feasible to tackle two main compiler optimization problems: optimization selection (choosing which optimizations to apply) ...",A Survey on Compiler Autotuning using Machine Learning
